,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
0,12461183,Hades,Videocult,"Crystal Dynamics, Feral Interactive (Mac)",,10865,2592,0,"2,000,000 .. 5,000,000",0,0,0,0,1,1,0,"English, French, German, Simplified Chinese, Portuguese - Brazil, Russian","Action, Adventure, Indie, Early Access",428,"{'Simulation': 253, 'Sports': 242, 'Management': 217, 'Football (Soccer)': 200, 'Football (American)': 57, 'Multiplayer': 44, 'Strategy': 41, 'Singleplayer': 16, 'Tactical': 5}"
1,13336975,NARUTO TO BORUTO: SHINOBI STRIKER,Hunter Studio,Xbox Game Studios,,6516,11294,0,"1,000,000 .. 2,000,000",0,0,0,0,20,12,0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Spanish - Latin America",Strategy,470,"{'Racing': 803, 'Open World': 612, 'Automobile Sim': 596, 'Multiplayer': 484, 'Driving': 475, 'Massively Multiplayer': 284, 'Action': 265, 'Flight': 233, 'Co-op': 203, 'Singleplayer': 170, 'Arcade': 160, 'First-Person': 148, 'Online Co-Op': 143, 'Third Person': 143, 'Simulation': 137, 'America': 131, 'Sports': 115, 'Atmospheric': 97, 'Adventure': 97, 'Sandbox': 96}"
2,8264178,Moonlighter,Indefatigable,Gun Media,,83506,14000,0,"2,000,000 .. 5,000,000",0,0,0,0,93,92,0,"English, French, Italian, German, Spanish - Spain, Korean, Portuguese - Portugal, Russian, Simplified Chinese, Traditional Chinese, Ukrainian, Vietnamese, Japanese, Portuguese - Brazil","Indie, RPG, Simulation",7355,"{'Dungeons & Dragons': 386, 'Free to Play': 382, 'Strategy': 377, 'Idler': 374, 'Fantasy': 372, 'Clicker': 318, 'Adventure': 155, 'Indie': 154, 'Action': 152, 'Singleplayer': 150, 'Management': 150, 'Puzzle': 148, 'Casual': 144, 'RPG': 142, '2D': 141, 'Loot': 136, 'Dungeon Crawler': 134, 'Magic': 131, 'Funny': 130, 'LGBTQ+': 130}"
3,85632,Mafia II: Definitive Edition,NEXT Studios,Endnight Games Ltd,,2378,61,0,"1,000,000 .. 2,000,000",0,0,0,0,355,559,0,"English, French, Italian, German, Spanish - Spain, Japanese, Russian, Swedish, Danish, Finnish, Norwegian, Polish, Portuguese - Portugal, Portuguese - Brazil, Traditional Chinese, Dutch, Korean, Simplified Chinese, Spanish - Latin America",Indie,0,"{'Basketball': 297, 'Sports': 187, 'Simulation': 127, 'Multiplayer': 113, 'Singleplayer': 51, 'Capitalism': 39, 'Loot': 23, 'Casual': 22, 'Local Multiplayer': 17, 'Massively Multiplayer': 15, 'Character Customization': 15, 'Controller': 15, 'Realistic': 13}"
4,16374677,ELDEN RING,mestiez,Infini-Brain inc.,,182256,14172,0,"2,000,000 .. 5,000,000",0,0,0,0,71,67,0,"English, French, Italian, German, Spanish - Spain, Danish, Dutch, Greek, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Swedish, Traditional Chinese, Turkish","Action, Free to Play, Massively Multiplayer, Strategy",15227,"{'FPS': 1036, 'Multiplayer': 841, 'Mechs': 829, 'Shooter': 819, 'Action': 787, 'Singleplayer': 745, 'Parkour': 722, 'Sci-fi': 710, 'First-Person': 635, 'Futuristic': 594, 'PvP': 500, 'Combat': 417, 'Military': 412, 'Fast-Paced': 344, 'Dating Sim': 319, 'Team-Based': 313, 'Time Travel': 293, 'Hero Shooter': 251, 'Violent': 220, 'Co-op': 192}"
5,9351662,Dark Messiah of Might & Magic,Valve,2K,,61948,147,0,"2,000,000 .. 5,000,000",0,0,0,0,96,172,0,"English, French, German, Italian, Spanish - Spain","Action, RPG",19,"{'Free to Play': 59069, 'MOBA': 19752, 'Multiplayer': 14952, 'Strategy': 13926, 'e-sports': 11438, 'Team-Based': 10705, 'Competitive': 8058, 'Action': 7772, 'Online Co-Op': 7271, 'PvP': 5832, 'Difficult': 5131, 'Co-op': 4148, 'RTS': 3973, 'Tower Defense': 3645, 'RPG': 3634, 'Fantasy': 3622, 'Character Customization': 2816, 'Replay Value': 2675, 'Action RPG': 2358, 'Simulation': 1869}"
6,1155440,Titan Quest Anniversary Edition,Konami Digital Entertainment,Daybreak Game Company,,25305,26,0,"2,000,000 .. 5,000,000",0,0,0,0,682,1317,0,"English, French, German, Simplified Chinese, Portuguese - Brazil, Russian","Action, Adventure, Racing, Sports",29,"{'Local Co-Op': 383, 'Multiplayer': 288, 'Local Multiplayer': 283, 'Co-op': 278, 'Casual': 219, '4 Player Local': 207, 'Family Friendly': 199, 'Funny': 194, 'Cooking': 190, 'Co-op Campaign': 163, 'Indie': 152, 'Simulation': 127, 'Action': 113, 'Cute': 89, 'Singleplayer': 81, 'Colorful': 60, 'Difficult': 56, 'Split Screen': 49, 'Great Soundtrack': 44, 'Adventure': 30}"
7,8804480,Age of Wonders III,DICE,Scott Cawthon,,5263,334,0,"1,000,000 .. 2,000,000",0,0,0,0,1412,2199,0,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese","Action, Adventure",29,"{'Survival': 3679, 'Open World Survival Craft': 2153, 'Crafting': 1892, 'Adventure': 1765, 'Indie': 1755, 'Sandbox': 1623, 'Singleplayer': 1373, 'Perma Death': 1113, 'Open World': 1028, 'Exploration': 1004, 'Multiplayer': 967, 'Rogue-like': 777, 'Replay Value': 676, 'Moddable': 657, 'Difficult': 589, 'Simulation': 544, '2D': 483, 'Top-Down': 413, 'Survival Horror': 395, 'Horror': 386}"
8,15079704,NBA 2K21,Scopely,Skullcap Studios,,2307,22,0,"1,000,000 .. 2,000,000",0,0,0,0,186,253,0,"English, French, German, Polish, Portuguese - Brazil, Russian, Spanish - Spain, Japanese, Simplified Chinese","Casual, Simulation, Strategy",443,"{'FPS': 700, 'World War II': 622, 'Multiplayer': 608, 'Shooter': 591, 'Singleplayer': 578, 'War': 531, 'Military': 456, 'First-Person': 423, 'PvP': 402, 'Combat': 397, 'Massively Multiplayer': 385, 'Open World': 364, 'Action': 348, 'Historical': 342, 'Destruction': 312, 'Battle Royale': 286, 'Atmospheric': 284, 'Violent': 177, 'Sexual Content': 176, 'Female Protagonist': 121}"
9,11686738,Draw & Guess,Mob Entertainment,"SEGA, Feral Interactive",,97232,29257,0,"1,000,000 .. 2,000,000",0,0,0,0,98,112,0,"English, French, Italian, German, Spanish - Latin America, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Japanese, Thai, Traditional Chinese, Turkish, Spanish - Spain, Arabic","Action, Adventure, Indie, Early Access",22102,"{'Action': 347, 'RPG': 286, 'Online Co-Op': 281, 'Multiplayer': 275, 'Hunting': 272, 'Character Customization': 259, 'Action RPG': 254, 'Co-op': 240, 'JRPG': 225, 'Third Person': 220, 'Singleplayer': 215, 'PvE': 192, 'Fantasy': 181, 'Anime': 174, 'Nature': 145, '3D': 145, 'Dragons': 136, 'Atmospheric': 123, 'Ninja': 109, 'Souls-like': 107}"
